"#domain","#severity","#reject_media","#reject_reports","#public_comment","#obfuscate"
"9kb.me","silence","true","false","Spam (2024-02-15)","false"
"academia.pub","silence","true","false","Spam (2024-02-15)","false"
"adforward.org","silence","true","false","Spam (2024-02-15)","false"
"aether.run","silence","true","false","Spam (2024-02-15)","false"
"archaeology.social","silence","true","false","Spam (2024-02-15)","false"
"besties.com","silence","true","false","Spam (2024-02-15)","false"
"bondsdogs.com","silence","true","false","Spam (2024-02-15)","false"
"cherryberry.pink","silence","true","false","Spam (2024-02-15)","false"
"cmm.fyi","silence","true","false","Spam (2024-02-15)","false"
"cryptodon.lol","silence","true","false","Spam (2024-02-15)","false"
"cunnyborea.top","silence","true","false","Spam (2024-02-15)","false"
"cuyes.mooo.com","silence","true","false","Spam (2024-02-15)","false"
"developers.live","silence","true","false","Spam (2024-02-15)","false"
"devsrv.farhan.codes","silence","true","false","Spam (2024-02-15)","false"
"digitaldata.social","silence","true","false","Spam (2024-02-15)","false"
"discourse.helenprejean.org","silence","true","false","Spam (2024-02-15)","false"
"don.blognot.co","silence","true","false","Spam (2024-02-15)","false"
"don.neet.co.jp","silence","true","false","Spam (2024-02-15)","false"
"educhat.social","silence","true","false","Spam (2024-02-15)","false"
"edusocial.it","silence","true","false","Spam (2024-02-15)","false"
"electroverse.tech","silence","true","false","Spam (2024-02-15)","false"
"fedibird.com","silence","true","false","Spam (2024-02-15)","false"
"forestver.se","silence","true","false","Spam (2024-02-15)","false"
"forum-lucifer.com","silence","true","false","Spam (2024-02-15)","false"
"freesocial.co","silence","true","false","Spam (2024-02-15)","false"
"fusionpros.social","silence","true","false","Spam (2024-02-15)","false"
"game-tecx.de","silence","true","false","Spam (2024-02-15)","false"
"games.retrotalk.live","silence","true","false","Spam (2024-02-15)","false"
"groupsebelah.com","silence","true","false","Spam (2024-02-15)","false"
"hdty.in","silence","true","false","Spam (2024-02-15)","false"
"i.transmit.love","silence","true","false","Spam (2024-02-15)","false"
"kernkraft.social","silence","true","false","Spam (2024-02-15)","false"
"kfem.cat","silence","true","false","Spam (2024-02-15)","false"
"kokuusa.club","silence","true","false","Spam (2024-02-15)","false"
"kommunismus.social","silence","true","false","Spam (2024-02-15)","false"
"kotodama.space","silence","true","false","Spam (2024-02-15)","false"
"lllsecurity.com","silence","true","false","Spam (2024-02-15)","false"
"m.corduba.tech","silence","true","false","Spam (2024-02-15)","false"
"m.techsocial.site","silence","true","false","Spam (2024-02-15)","false"
"mastadon.astuto.cc","silence","true","false","Spam (2024-02-15)","false"
"mastodon-ero.xyz","silence","true","false","Spam (2024-02-15)","false"
"mastodon-swiss.org","silence","true","false","Spam (2024-02-15)","false"
"mastodon.conquestuniverse.com","silence","true","false","Spam (2024-02-15)","false"
"mastodon.creation.md","silence","true","false","Spam (2024-02-15)","false"
"mastodon.dtris.moe","silence","true","false","Spam (2024-02-15)","false"
"mastodon.dragonbox.de","silence","true","false","Spam (2024-02-15)","false"
"mastodon.education","silence","true","false","Spam (2024-02-15)","false"
"mastodon.integrata-stiftung.de","silence","true","false","Spam (2024-02-15)","false"
"mastodon.io.seg.br","silence","true","false","Spam (2024-02-15)","false"
"mastodon.my","silence","true","false","Spam (2024-02-15)","false"
"mastodon.snmsoc.org","silence","true","false","Spam (2024-02-15)","false"
"mastodon.svgun.ru","silence","true","false","Spam (2024-02-15)","false"
"mastodon.thedirtydis.co","silence","true","false","Spam (2024-02-15)","false"
"mastodon.unpluggedrva.com","silence","true","false","Spam (2024-02-15)","false"
"mentalhealth-masto.com","silence","true","false","Spam (2024-02-15)","false"
"mentalhealthmasto.com","silence","true","false","Spam (2024-02-15)","false"
"molaguay.xyz","silence","true","false","Spam (2024-02-15)","false"
"nasface.cz","silence","true","false","Spam (2024-02-15)","false"
"narikiri.hostdon.ne.jp","silence","true","false","Spam (2024-02-15)","false"
"neuroscience-mastodon.com","silence","true","false","Spam (2024-02-15)","false"
"neuss.social","silence","true","false","Spam (2024-02-15)","false"
"niederbayern.social","silence","true","false","Spam (2024-02-15)","false"
"nycity.social","silence","true","false","Spam (2024-02-15)","false"
"onion.social","silence","true","false","Spam (2024-02-15)","false"
"onlybsds.com","silence","true","false","Spam (2024-02-15)","false"
"owo.town","silence","true","false","Spam (2024-02-15)","false"
"phyrexia.ru","silence","true","false","Spam (2024-02-15)","false"
"portside.social","silence","true","false","Spam (2024-02-15)","false"
"pouet.evolix.org","silence","true","false","Spam (2024-02-15)","false"
"quakers.social","silence","true","false","Spam (2024-02-15)","false"
"rope-access-work.com","silence","true","false","Spam (2024-02-15)","false"
"rtypedbs.hostdon.ne.jp","silence","true","false","Spam (2024-02-15)","false"
"rtypedbs.hostdon.ne.jp","silence","true","false","Spam (2024-02-15)","false"
"scfzfilm.org","silence","true","false","Spam (2024-02-15)","false"
"sensitive.hostdon.ne.jp","silence","true","false","Spam (2024-02-15)","false"
"smooth.guru","silence","true","false","Spam (2024-02-15)","false"
"social.cezeri.tech","silence","true","false","Spam (2024-02-15)","false"
"social.consoledated.com","silence","true","false","Spam (2024-02-15)","false"
"social.cutefunny.net","silence","true","false","Spam (2024-02-15)","false"
"social.tcpcat.net","silence","true","false","Spam (2024-02-15)","false"
"tambayan.us","silence","true","false","Spam (2024-02-15)","false"
"tcpcat.net","silence","true","false","Spam (2024-02-15)","false"
"tech.retrotalk.live","silence","true","false","Spam (2024-02-15)","false"
"terere.social","silence","true","false","Spam (2024-02-15)","false"
"thoughtful.social","silence","true","false","Spam (2024-02-15)","false"
"toot.poedelwitz.de","silence","true","false","Spam (2024-02-15)","false"
"tootnet.nl","silence","true","false","Spam (2024-02-15)","false"
"tut.andreer.no","silence","true","false","Spam (2024-02-15)","false"
"vivere.uno","silence","true","false","Spam (2024-02-15)","false"
"waterlily.tokyo","silence","true","false","Spam (2024-02-15)","false"
"westen.social","silence","true","false","Spam (2024-02-15)","false"
"wpmastodon.es","silence","true","false","Spam (2024-02-15)","false"
"zettel.haus","silence","true","false","Spam (2024-02-15)","false"